yyyy-mm-dd,hh:mm:ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality
2022-10-18,02:47:41,52.869,-5.526,5.7,0.6,8,0.3,NA,NA,IRISH SEA
2022-10-19,19:33:30,56.156,-3.461,3.8,1,8,0.4,NA,NA,CLEISH PERTH & KINROSS
2022-10-24,21:45:52,53.555,-2.443,14.6,0.6,9,0.1,NA,NA,BOLTON GTR MANCHESTER
2022-10-25,18:42:02,50.206,-5.066,8.9,0.5,5,0.3,NA,NA,PENPOL CORNWALL
2022-10-26,19:21:04,50.366,-5.403,16.7,0.4,5,0,NA,NA,CELTIC SEA
2022-10-26,19:21:12,50.369,-5.402,16.6,0.5,5,0,NA,NA,CELTIC SEA
2022-10-27,04:24:26,57.374,-5.171,4.6,1.3,9,0.3,NA,NA,LOCH MONAR HIGHLAND
2022-10-27,12:27:52,52.08,-3.605,6.9,2,9,0.3,NA,NA,LLANWRTYD WELLS POWYS
2022-10-27,13:30:37,54.718,-2.979,8.6,1,12,0.2,NA,NA,MILLHOUSE CUMBRIA
2022-10-28,17:04:03,53.489,-2.817,14.3,1,14,0.2,NA,NA,KIRKBY MERSEYSIDE
2022-10-29,02:19:57,55.873,-4.913,6.4,0.3,6,0.2,NA,NA,WEMYSS BAY INVERCLYDE
2022-10-31,01:32:14,52.39,-2.261,8,0.7,8,0.2,NA,NA,KIDDERMINSTER WORCS
2022-10-31,17:26:35,57.001,-4.744,4.5,1.3,10,0.4,NA,NA,KILFINNAN HIGHLAND
